Intensity Vs Time, Counts per Second
Time in Seconds ,Cu63

1.293,0
1.294,1000.030000
1.296,0
1.297,0
1.298,0
1.299,0
1.3,0
1.302,0
1.303,0
1.304,0
1.305,0
1.306,0
1.308,0
1.309,0
1.31,2000.120007200
1.311,0
1.312,0
1.314,0
1.315,0
1.316,0
1.317,0
1.318,0
1.32,0
1.321,0
1.322,0
1.323,0
1.324,0
1.326,0
1.327,0
1.328,0
1.329,0
1.33,0
1.332,0
1.333,0
1.334,0
1.335,0
1.336,0
1.338,0
1.339,0
1.34,0
1.341,1000.030000
1.342,0
1.344,0
1.345,0
1.346,0
1.347,0
1.348,0
1.35,1000.030000
1.351,1000.030000
1.352,0
1.353,0
1.354,0
1.356,0
1.357,0
1.358,0
1.359,0
1.36,0
1.362,0
1.363,0
1.364,0
1.365,1000.030000
1.366,0
1.368,0
1.369,0
1.37,0
1.371,0
1.372,0
1.374,0
1.375,0
1.376,0
1.377,0
1.378,0
1.38,0
1.381,0
1.382,0
1.383,0
1.384,0
1.386,0
1.387,0
1.388,0
1.389,0
1.39,0
1.392,1000.030000
1.393,0
1.394,0
1.395,0
1.396,0
1.398,0
1.399,0
1.4,1000.030000
1.401,0
1.402,1000.030000
1.404,0
1.405,1000.030000
1.406,0
1.407,0
1.408,0
1.41,0
1.411,0
1.412,1000.030000
1.413,0
1.414,0
1.416,2000.120007200
1.417,0
1.418,0
1.419,1000.030000
1.42,0
1.422,0
1.423,0
1.424,0
1.425,0
1.426,0
1.428,0
1.429,0
1.43,0
1.431,0
1.432,1000.030000
1.434,1000.030000
1.435,1000.030000
1.436,0
1.437,0
1.438,0
1.44,0
1.441,0
1.442,2000.120007200
1.443,0
1.445,0
1.446,0
1.447,0
1.448,0
1.449,0
1.451,1000.030000
1.452,0
1.453,0
1.454,0
1.455,0
1.457,0
1.458,0
1.459,1000.030000
1.46,1000.030000
1.461,0
1.463,0
1.464,0
1.465,0
1.466,1000.030000
1.467,0
1.469,0
1.47,0
1.471,0
1.472,0
1.473,0
1.475,0
1.476,0
1.477,0
1.478,0
1.479,0
1.481,0
